OBJECTID,SSL,BLDG_NUM,SECT_NUM,STRUCT_CL,STRUCT_CL_D,GRADE,GRADE_D,EXTWALL,EXTWALL_D,WALL_HGT,NUM_UNITS,SALEDATE,PRICE,QUALIFIED,AYB,YR_RMDL,EYB,SALE_NUM,LIVING_GBA,USECODE,LANDAREA,GIS_LAST_MOD_DTTM
4820,3390    0812,1,1,C,Brick/Concr,40,Good,BR,Brick,12,0,1900-01-01T00:00:00.000Z,,U,1900,2007,1962,1,18946,51,13225,2018-09-17T09:53:41.000Z
4821,3391    0017,1,1,B,Reinf Concr,40,Good,BR,Brick,12,,2017-01-04T00:00:00.000Z,749000,Q,1937,,1949,3,4104,49,2304,2018-09-17T09:53:41.000Z
4822,3391    0035,1,1,C,Brick/Concr,35,Average +,BR,Brick,10,,2003-07-25T00:00:00.000Z,0,U,1949,,1970,1,891,41,1095,2018-09-17T09:53:41.000Z
4823,3391    0039,1,1,C,Brick/Concr,20,Fair,BR,Brick,12,,1900-01-01T00:00:00.000Z,,U,1989,,1970,1,3820,49,6753,2018-09-17T09:53:41.000Z
4824,3391    0040,1,1,C,Brick/Concr,30,Average,BR,Brick,8,1,1900-01-01T00:00:00.000Z,,U,1949,1993,1949,1,1146,81,2509,2018-09-17T09:53:41.000Z
4825,3391    0040,2,1,C,Brick/Concr,0,Default,BR,Brick,12,,1900-01-01T00:00:00.000Z,,U,1949,,1956,1,734,81,2509,2018-09-17T09:53:41.000Z
4826,3391    0802,1,1,C,Brick/Concr,30,Average,CB,Concrete Block,8,,1997-06-03T00:00:00.000Z,0,U,1937,1984,1969,1,3168,41,3575,2018-09-17T09:53:41.000Z
4827,3391    0805,1,1,C,Brick/Concr,30,Average,BR,Brick,8,0,1900-01-01T00:00:00.000Z,,U,1937,,1900,1,2084,81,2600,2018-09-17T09:53:41.000Z
4828,3391    0806,1,1,C,Brick/Concr,30,Average,BR,Brick,12,,2015-07-09T00:00:00.000Z,225000,Q,1937,2017,1978,5,1039,41,1300,2018-09-17T09:53:41.000Z
4829,3391    0807,1,1,C,Brick/Concr,30,Average,BR,Brick,12,,2005-05-09T00:00:00.000Z,0,U,1945,,1967,1,761,41,1138,2018-09-17T09:53:41.000Z
